Crypto,Price,Time
Bitcoin,95170.6,2025-11-14 19:35:08.627017
Ethereum,3119.68,2025-11-14 19:35:08.627017
BNB,905.64,2025-11-14 19:35:08.627017
Solana,137.75,2025-11-14 19:35:08.627017
XRP,2.27,2025-11-14 19:35:08.627017
Dogecoin,0.1596,2025-11-14 19:35:08.627017
Bitcoin,95106.29,2025-11-14 19:36:17.400404
Ethereum,3119.08,2025-11-14 19:36:17.400404
BNB,905.68,2025-11-14 19:36:17.400404
Solana,138.89,2025-11-14 19:36:17.400404
XRP,2.27,2025-11-14 19:36:17.400404
Dogecoin,0.1596,2025-11-14 19:36:17.400404
Bitcoin,95065.26,2025-11-14 19:37:26.273358
Ethereum,3119.35,2025-11-14 19:37:26.273358
BNB,905.61,2025-11-14 19:37:26.273358
Solana,138.88,2025-11-14 19:37:26.273358
XRP,2.26,2025-11-14 19:37:26.273358
Dogecoin,0.1596,2025-11-14 19:37:26.273358
Bitcoin,95065.26,2025-11-14 19:38:35.702953
Ethereum,3119.35,2025-11-14 19:38:35.702953
BNB,905.61,2025-11-14 19:38:35.702953
Solana,138.88,2025-11-14 19:38:35.702953
XRP,2.26,2025-11-14 19:38:35.702953
Dogecoin,0.1596,2025-11-14 19:38:35.702953
Bitcoin,95515.02,2025-11-14 19:39:44.539230
Ethereum,3134.03,2025-11-14 19:39:44.539230
BNB,906.41,2025-11-14 19:39:44.539230
Solana,138.88,2025-11-14 19:39:44.539230
XRP,2.26,2025-11-14 19:39:44.539230
Dogecoin,0.1596,2025-11-14 19:39:44.539230
Bitcoin,95515.02,2025-11-14 19:40:53.361522
Ethereum,3134.03,2025-11-14 19:40:53.361522
BNB,906.41,2025-11-14 19:40:53.361522
Solana,138.88,2025-11-14 19:40:53.361522
XRP,2.26,2025-11-14 19:40:53.361522
Dogecoin,0.1596,2025-11-14 19:40:53.361522
Bitcoin,95592.09,2025-11-14 19:41:57.431979
Ethereum,3140.55,2025-11-14 19:41:57.431979
BNB,909.09,2025-11-14 19:41:57.431979
Solana,138.88,2025-11-14 19:41:57.431979
XRP,2.26,2025-11-14 19:41:57.431979
Dogecoin,0.1596,2025-11-14 19:41:57.431979
Bitcoin,95592.09,2025-11-14 19:43:01.570180
Ethereum,3140.55,2025-11-14 19:43:01.570180
BNB,909.09,2025-11-14 19:43:01.570180
Solana,138.88,2025-11-14 19:43:01.570180
XRP,2.26,2025-11-14 19:43:01.570180
Dogecoin,0.1596,2025-11-14 19:43:01.570180
Bitcoin,95467.03,2025-11-14 19:44:05.499839
Ethereum,3131.5,2025-11-14 19:44:05.499839
BNB,909.12,2025-11-14 19:44:05.499839
Solana,139.42,2025-11-14 19:44:05.499839
XRP,2.27,2025-11-14 19:44:05.499839
Dogecoin,0.1603,2025-11-14 19:44:05.499839
Bitcoin,95467.03,2025-11-14 19:45:11.552983
Ethereum,3131.5,2025-11-14 19:45:11.552983
BNB,909.12,2025-11-14 19:45:11.552983
Solana,139.42,2025-11-14 19:45:11.552983
XRP,2.27,2025-11-14 19:45:11.552983
Dogecoin,0.1603,2025-11-14 19:45:11.552983
Bitcoin,95467.03,2025-11-14 19:46:17.049869
Ethereum,3131.5,2025-11-14 19:46:17.049869
BNB,909.12,2025-11-14 19:46:17.049869
Solana,139.42,2025-11-14 19:46:17.049869
XRP,2.27,2025-11-14 19:46:17.049869
Dogecoin,0.1603,2025-11-14 19:46:17.049869
Bitcoin,95348.29,2025-11-14 19:47:25.781589
Ethereum,3130.5,2025-11-14 19:47:25.781589
BNB,908.27,2025-11-14 19:47:25.781589
Solana,139.08,2025-11-14 19:47:25.781589
XRP,2.27,2025-11-14 19:47:25.781589
Dogecoin,0.1602,2025-11-14 19:47:25.781589
Bitcoin,95348.29,2025-11-14 19:48:32.600934
Ethereum,3130.5,2025-11-14 19:48:32.600934
BNB,908.27,2025-11-14 19:48:32.600934
Solana,139.08,2025-11-14 19:48:32.600934
XRP,2.27,2025-11-14 19:48:32.600934
Dogecoin,0.1602,2025-11-14 19:48:32.600934
Bitcoin,95407.07,2025-11-14 19:49:51.550910
Ethereum,3137.91,2025-11-14 19:49:51.550910
BNB,908.92,2025-11-14 19:49:51.550910
Solana,138.68,2025-11-14 19:49:51.550910
XRP,2.26,2025-11-14 19:49:51.550910
Dogecoin,0.1597,2025-11-14 19:49:51.550910
Bitcoin,95407.07,2025-11-14 19:51:01.349850
Ethereum,3137.91,2025-11-14 19:51:01.349850
BNB,908.92,2025-11-14 19:51:01.349850
Solana,138.68,2025-11-14 19:51:01.349850
XRP,2.26,2025-11-14 19:51:01.349850
Dogecoin,0.1597,2025-11-14 19:51:01.349850
Bitcoin,95416.17,2025-11-14 19:52:06.041902
Ethereum,3139.09,2025-11-14 19:52:06.041902
BNB,909.4,2025-11-14 19:52:06.041902
Solana,138.68,2025-11-14 19:52:06.041902
XRP,2.26,2025-11-14 19:52:06.041902
Dogecoin,0.1597,2025-11-14 19:52:06.041902
Bitcoin,95416.17,2025-11-14 19:53:19.975530
Ethereum,3139.09,2025-11-14 19:53:19.975530
BNB,909.4,2025-11-14 19:53:19.975530
Solana,138.68,2025-11-14 19:53:19.975530
XRP,2.26,2025-11-14 19:53:19.975530
Dogecoin,0.1597,2025-11-14 19:53:19.975530
Bitcoin,95552.71,2025-11-14 19:54:31.417665
Ethereum,3140.22,2025-11-14 19:54:31.417665
BNB,912.45,2025-11-14 19:54:31.417665
Solana,138.69,2025-11-14 19:54:31.417665
XRP,2.26,2025-11-14 19:54:31.417665
Dogecoin,0.1596,2025-11-14 19:54:31.417665
Bitcoin,95552.71,2025-11-14 19:55:38.793422
Ethereum,3140.22,2025-11-14 19:55:38.793422
BNB,911.87,2025-11-14 19:55:38.793422
Solana,138.92,2025-11-14 19:55:38.793422
XRP,2.27,2025-11-14 19:55:38.793422
Dogecoin,0.1598,2025-11-14 19:55:38.793422
Bitcoin,95552.71,2025-11-14 19:56:45.366877
Ethereum,3140.22,2025-11-14 19:56:45.366877
BNB,911.87,2025-11-14 19:56:45.366877
Solana,138.92,2025-11-14 19:56:45.366877
XRP,2.27,2025-11-14 19:56:45.366877
Dogecoin,0.1598,2025-11-14 19:56:45.366877
Bitcoin,95566.68,2025-11-14 19:57:55.321738
Ethereum,3149.82,2025-11-14 19:57:55.321738
BNB,912.19,2025-11-14 19:57:55.321738
Solana,138.92,2025-11-14 19:57:55.321738
XRP,2.27,2025-11-14 19:57:55.321738
Dogecoin,0.1598,2025-11-14 19:57:55.321738
Bitcoin,95566.68,2025-11-14 19:59:00.968752
Ethereum,3149.82,2025-11-14 19:59:00.968752
BNB,912.19,2025-11-14 19:59:00.968752
Solana,138.92,2025-11-14 19:59:00.968752
XRP,2.27,2025-11-14 19:59:00.968752
Dogecoin,0.1598,2025-11-14 19:59:00.968752
Bitcoin,95640.53,2025-11-14 20:00:12.602190
Ethereum,3157.47,2025-11-14 20:00:12.602190
BNB,912.33,2025-11-14 20:00:12.602190
Solana,138.83,2025-11-14 20:00:12.602190
XRP,2.26,2025-11-14 20:00:12.602190
Dogecoin,0.1596,2025-11-14 20:00:12.602190
Bitcoin,95640.53,2025-11-14 20:01:22.936613
Ethereum,3157.47,2025-11-14 20:01:22.936613
BNB,912.33,2025-11-14 20:01:22.936613
Solana,138.83,2025-11-14 20:01:22.936613
XRP,2.26,2025-11-14 20:01:22.936613
Dogecoin,0.1596,2025-11-14 20:01:22.936613
Bitcoin,95568.66,2025-11-14 20:02:32.064337
Ethereum,3150.55,2025-11-14 20:02:32.064337
BNB,912.64,2025-11-14 20:02:32.064337
Solana,138.83,2025-11-14 20:02:32.064337
XRP,2.26,2025-11-14 20:02:32.064337
Dogecoin,0.1596,2025-11-14 20:02:32.064337
Bitcoin,95327.49,2025-11-14 20:03:39.766834
Ethereum,3132.83,2025-11-14 20:03:39.766834
BNB,912.65,2025-11-14 20:03:39.766834
Solana,138.95,2025-11-14 20:03:39.766834
XRP,2.26,2025-11-14 20:03:39.766834
Dogecoin,0.1595,2025-11-14 20:03:39.766834
Bitcoin,95327.49,2025-11-14 20:04:48.125836
Ethereum,3132.83,2025-11-14 20:04:48.125836
BNB,912.65,2025-11-14 20:04:48.125836
Solana,138.95,2025-11-14 20:04:48.125836
XRP,2.26,2025-11-14 20:04:48.125836
Dogecoin,0.1595,2025-11-14 20:04:48.125836
Bitcoin,95137.71,2025-11-14 20:05:55.874531
Ethereum,3119.89,2025-11-14 20:05:55.874531
BNB,911.25,2025-11-14 20:05:55.874531
Solana,138.79,2025-11-14 20:05:55.874531
XRP,2.26,2025-11-14 20:05:55.874531
Dogecoin,0.1591,2025-11-14 20:05:55.874531
Bitcoin,95137.71,2025-11-14 20:07:03.722760
Ethereum,3119.89,2025-11-14 20:07:03.722760
BNB,911.25,2025-11-14 20:07:03.722760
Solana,138.79,2025-11-14 20:07:03.722760
XRP,2.26,2025-11-14 20:07:03.722760
Dogecoin,0.1591,2025-11-14 20:07:03.722760
Bitcoin,94984.26,2025-11-14 20:08:13.542880
Ethereum,3114.25,2025-11-14 20:08:13.542880
BNB,910.52,2025-11-14 20:08:13.542880
Solana,138.79,2025-11-14 20:08:13.542880
XRP,2.26,2025-11-14 20:08:13.542880
Dogecoin,0.1591,2025-11-14 20:08:13.542880
Bitcoin,94984.26,2025-11-14 20:09:21.737113
Ethereum,3114.25,2025-11-14 20:09:21.737113
BNB,910.52,2025-11-14 20:09:21.737113
Solana,138.79,2025-11-14 20:09:21.737113
XRP,2.26,2025-11-14 20:09:21.737113
Dogecoin,0.1591,2025-11-14 20:09:21.737113
Bitcoin,94984.26,2025-11-14 20:10:29.961223
Ethereum,3114.25,2025-11-14 20:10:29.961223
BNB,910.52,2025-11-14 20:10:29.961223
Solana,138.79,2025-11-14 20:10:29.961223
XRP,2.26,2025-11-14 20:10:29.961223
Dogecoin,0.1591,2025-11-14 20:10:29.961223
Bitcoin,94984.26,2025-11-14 20:11:33.548527
Ethereum,3178.76,2025-11-14 20:11:33.548527
BNB,915.39,2025-11-14 20:11:33.548527
Solana,138.36,2025-11-14 20:11:33.548527
XRP,2.25,2025-11-14 20:11:33.548527
Dogecoin,0.1588,2025-11-14 20:11:33.548527
Bitcoin,96062.34,2025-11-14 20:12:38.248754
Ethereum,3178.76,2025-11-14 20:12:38.248754
BNB,915.39,2025-11-14 20:12:38.248754
Solana,138.36,2025-11-14 20:12:38.248754
XRP,2.25,2025-11-14 20:12:38.248754
Dogecoin,0.1588,2025-11-14 20:12:38.248754
Bitcoin,96062.34,2025-11-14 20:13:45.344571
Ethereum,3178.76,2025-11-14 20:13:45.344571
BNB,915.39,2025-11-14 20:13:45.344571
Solana,139.8,2025-11-14 20:13:45.344571
XRP,2.27,2025-11-14 20:13:45.344571
Dogecoin,0.1603,2025-11-14 20:13:45.344571
Bitcoin,96062.34,2025-11-14 20:14:52.236791
Ethereum,3178.76,2025-11-14 20:14:52.236791
BNB,915.39,2025-11-14 20:14:52.236791
Solana,139.8,2025-11-14 20:14:52.236791
XRP,2.27,2025-11-14 20:14:52.236791
Dogecoin,0.1603,2025-11-14 20:14:52.236791
Bitcoin,96184.75,2025-11-14 20:16:00.440041
Ethereum,3184.5,2025-11-14 20:16:00.440041
BNB,922.03,2025-11-14 20:16:00.440041
Solana,139.8,2025-11-14 20:16:00.440041
XRP,2.27,2025-11-14 20:16:00.440041
Dogecoin,0.1603,2025-11-14 20:16:00.440041
Bitcoin,96184.75,2025-11-14 20:17:07.661473
Ethereum,3184.5,2025-11-14 20:17:07.661473
BNB,922.03,2025-11-14 20:17:07.661473
Solana,139.8,2025-11-14 20:17:07.661473
XRP,2.27,2025-11-14 20:17:07.661473
Dogecoin,0.1603,2025-11-14 20:17:07.661473
Bitcoin,96272.36,2025-11-14 20:18:14.952090
Ethereum,3194.8,2025-11-14 20:18:14.952090
BNB,923.19,2025-11-14 20:18:14.952090
Solana,140.85,2025-11-14 20:18:14.952090
XRP,2.28,2025-11-14 20:18:14.952090
Dogecoin,0.1614,2025-11-14 20:18:14.952090
Bitcoin,96272.36,2025-11-14 20:19:21.811834
Ethereum,3194.8,2025-11-14 20:19:21.811834
BNB,923.19,2025-11-14 20:19:21.811834
Solana,140.85,2025-11-14 20:19:21.811834
XRP,2.28,2025-11-14 20:19:21.811834
Dogecoin,0.1614,2025-11-14 20:19:21.811834
Bitcoin,96488.4,2025-11-14 20:20:29.691731
Ethereum,3203.89,2025-11-14 20:20:29.691731
BNB,924.69,2025-11-14 20:20:29.691731
Solana,141.3,2025-11-14 20:20:29.691731
XRP,2.29,2025-11-14 20:20:29.691731
Dogecoin,0.1623,2025-11-14 20:20:29.691731
Bitcoin,96488.4,2025-11-14 20:21:37.195760
Ethereum,3203.89,2025-11-14 20:21:37.195760
BNB,924.69,2025-11-14 20:21:37.195760
Solana,141.3,2025-11-14 20:21:37.195760
XRP,2.29,2025-11-14 20:21:37.195760
Dogecoin,0.1623,2025-11-14 20:21:37.195760
Bitcoin,96420.98,2025-11-14 20:22:43.916209
Ethereum,3200.64,2025-11-14 20:22:43.916209
BNB,924.45,2025-11-14 20:22:43.916209
Solana,141.3,2025-11-14 20:22:43.916209
XRP,2.29,2025-11-14 20:22:43.916209
Dogecoin,0.1623,2025-11-14 20:22:43.916209
Bitcoin,96420.98,2025-11-14 20:23:51.345721
Ethereum,3191.29,2025-11-14 20:23:51.345721
BNB,922.8,2025-11-14 20:23:51.345721
Solana,141.97,2025-11-14 20:23:51.345721
XRP,2.3,2025-11-14 20:23:51.345721
Dogecoin,0.163,2025-11-14 20:23:51.345721
Bitcoin,96318.93,2025-11-14 20:24:59.493302
Ethereum,3191.29,2025-11-14 20:24:59.493302
BNB,922.8,2025-11-14 20:24:59.493302
Solana,141.97,2025-11-14 20:24:59.493302
XRP,2.3,2025-11-14 20:24:59.493302
Dogecoin,0.163,2025-11-14 20:24:59.493302
Bitcoin,96318.93,2025-11-14 20:26:06.226491
Ethereum,3191.29,2025-11-14 20:26:06.226491
BNB,924.45,2025-11-14 20:26:06.226491
Solana,141.97,2025-11-14 20:26:06.226491
XRP,2.3,2025-11-14 20:26:06.226491
Dogecoin,0.1628,2025-11-14 20:26:06.226491
Bitcoin,96318.93,2025-11-14 20:27:13.180560
Ethereum,3191.29,2025-11-14 20:27:13.180560
BNB,924.45,2025-11-14 20:27:13.180560
Solana,141.97,2025-11-14 20:27:13.180560
XRP,2.3,2025-11-14 20:27:13.180560
Dogecoin,0.1628,2025-11-14 20:27:13.180560
Bitcoin,96629.46,2025-11-14 20:28:19.912359
Ethereum,3208.55,2025-11-14 20:28:19.912359
BNB,924.05,2025-11-14 20:28:19.912359
Solana,142.0,2025-11-14 20:28:19.912359
XRP,2.3,2025-11-14 20:28:19.912359
Dogecoin,0.1627,2025-11-14 20:28:19.912359
Bitcoin,96629.46,2025-11-14 20:29:27.110177
Ethereum,3208.55,2025-11-14 20:29:27.110177
BNB,924.05,2025-11-14 20:29:27.110177
Solana,142.0,2025-11-14 20:29:27.110177
XRP,2.3,2025-11-14 20:29:27.110177
Dogecoin,0.1627,2025-11-14 20:29:27.110177
Bitcoin,96310.44,2025-11-14 20:30:34.105893
Ethereum,3196.07,2025-11-14 20:30:34.105893
BNB,924.05,2025-11-14 20:30:34.105893
Solana,142.0,2025-11-14 20:30:34.105893
XRP,2.3,2025-11-14 20:30:34.105893
Dogecoin,0.1627,2025-11-14 20:30:34.105893
Bitcoin,96310.44,2025-11-14 20:31:41.692915
Ethereum,3196.07,2025-11-14 20:31:41.692915
BNB,924.05,2025-11-14 20:31:41.692915
Solana,142.0,2025-11-14 20:31:41.692915
XRP,2.3,2025-11-14 20:31:41.692915
Dogecoin,0.1632,2025-11-14 20:31:41.692915
Bitcoin,96458.9,2025-11-14 20:32:49.076145
Ethereum,3199.38,2025-11-14 20:32:49.076145
BNB,925.56,2025-11-14 20:32:49.076145
Solana,142.09,2025-11-14 20:32:49.076145
XRP,2.3,2025-11-14 20:32:49.076145
Dogecoin,0.1632,2025-11-14 20:32:49.076145
Bitcoin,96388.01,2025-11-14 20:33:55.963677
Ethereum,3196.43,2025-11-14 20:33:55.963677
BNB,924.84,2025-11-14 20:33:55.963677
Solana,142.09,2025-11-14 20:33:55.963677
XRP,2.3,2025-11-14 20:33:55.963677
Dogecoin,0.1632,2025-11-14 20:33:55.963677
Bitcoin,96388.01,2025-11-14 20:35:09.046253
Ethereum,3196.43,2025-11-14 20:35:09.046253
BNB,924.84,2025-11-14 20:35:09.046253
Solana,142.09,2025-11-14 20:35:09.046253
XRP,2.3,2025-11-14 20:35:09.046253
Dogecoin,0.1632,2025-11-14 20:35:09.046253
Bitcoin,96388.01,2025-11-14 20:36:16.591010
Ethereum,3187.82,2025-11-14 20:36:16.591010
BNB,923.85,2025-11-14 20:36:16.591010
Solana,141.99,2025-11-14 20:36:16.591010
XRP,2.3,2025-11-14 20:36:16.591010
Dogecoin,0.1627,2025-11-14 20:36:16.591010
Bitcoin,96316.5,2025-11-14 20:37:23.371872
Ethereum,3187.82,2025-11-14 20:37:23.371872
BNB,923.85,2025-11-14 20:37:23.371872
Solana,141.99,2025-11-14 20:37:23.371872
XRP,2.3,2025-11-14 20:37:23.371872
Dogecoin,0.1627,2025-11-14 20:37:23.371872
Bitcoin,96041.61,2025-11-14 20:38:30.501357
Ethereum,3177.5,2025-11-14 20:38:30.501357
BNB,922.26,2025-11-14 20:38:30.501357
Solana,141.94,2025-11-14 20:38:30.501357
XRP,2.3,2025-11-14 20:38:30.501357
Dogecoin,0.1624,2025-11-14 20:38:30.501357
Bitcoin,96041.61,2025-11-14 20:39:38.075441
Ethereum,3177.5,2025-11-14 20:39:38.075441
BNB,922.26,2025-11-14 20:39:38.075441
Solana,141.94,2025-11-14 20:39:38.075441
XRP,2.3,2025-11-14 20:39:38.075441
Dogecoin,0.1624,2025-11-14 20:39:38.075441
Bitcoin,96345.26,2025-11-14 20:40:45.623708
Ethereum,3189.91,2025-11-14 20:40:45.623708
BNB,922.53,2025-11-14 20:40:45.623708
Solana,141.48,2025-11-14 20:40:45.623708
XRP,2.29,2025-11-14 20:40:45.623708
Dogecoin,0.1621,2025-11-14 20:40:45.623708
Bitcoin,96260.28,2025-11-14 20:41:53.131373
Ethereum,3182.53,2025-11-14 20:41:53.131373
BNB,922.1,2025-11-14 20:41:53.131373
Solana,141.48,2025-11-14 20:41:53.131373
XRP,2.29,2025-11-14 20:41:53.131373
Dogecoin,0.1621,2025-11-14 20:41:53.131373
Bitcoin,96260.28,2025-11-14 20:43:00.500930
Ethereum,3182.53,2025-11-14 20:43:00.500930
BNB,922.1,2025-11-14 20:43:00.500930
Solana,141.48,2025-11-14 20:43:00.500930
XRP,2.29,2025-11-14 20:43:00.500930
Dogecoin,0.1621,2025-11-14 20:43:00.500930
Bitcoin,96450.6,2025-11-14 20:44:08.544105
Ethereum,3187.86,2025-11-14 20:44:08.544105
BNB,922.21,2025-11-14 20:44:08.544105
Solana,141.32,2025-11-14 20:44:08.544105
XRP,2.29,2025-11-14 20:44:08.544105
Dogecoin,0.162,2025-11-14 20:44:08.544105
Bitcoin,96450.6,2025-11-14 20:45:16.036075
Ethereum,3187.86,2025-11-14 20:45:16.036075
BNB,922.21,2025-11-14 20:45:16.036075
Solana,141.32,2025-11-14 20:45:16.036075
XRP,2.29,2025-11-14 20:45:16.036075
Dogecoin,0.162,2025-11-14 20:45:16.036075
Bitcoin,96411.61,2025-11-14 20:46:23.930997
Ethereum,3186.96,2025-11-14 20:46:23.930997
BNB,922.37,2025-11-14 20:46:23.930997
Solana,141.51,2025-11-14 20:46:23.930997
XRP,2.29,2025-11-14 20:46:23.930997
Dogecoin,0.1621,2025-11-14 20:46:23.930997
Bitcoin,96411.61,2025-11-14 20:47:38.282540
Ethereum,3186.96,2025-11-14 20:47:38.282540
BNB,922.37,2025-11-14 20:47:38.282540
Solana,141.51,2025-11-14 20:47:38.282540
XRP,2.29,2025-11-14 20:47:38.282540
Dogecoin,0.1621,2025-11-14 20:47:38.282540
Bitcoin,95830.33,2025-11-14 20:48:47.963101
Ethereum,3160.71,2025-11-14 20:48:47.963101
BNB,920.71,2025-11-14 20:48:47.963101
Solana,141.51,2025-11-14 20:48:47.963101
XRP,2.29,2025-11-14 20:48:47.963101
Dogecoin,0.1621,2025-11-14 20:48:47.963101
Bitcoin,95830.33,2025-11-14 20:49:59.000068
Ethereum,3160.71,2025-11-14 20:49:59.000068
BNB,920.71,2025-11-14 20:49:59.000068
Solana,141.0,2025-11-14 20:49:59.000068
XRP,2.29,2025-11-14 20:49:59.000068
Dogecoin,0.1618,2025-11-14 20:49:59.000068
Bitcoin,96164.47,2025-11-14 20:51:09.014674
Ethereum,3179.27,2025-11-14 20:51:09.014674
BNB,920.71,2025-11-14 20:51:09.014674
Solana,141.0,2025-11-14 20:51:09.014674
XRP,2.29,2025-11-14 20:51:09.014674
Dogecoin,0.1618,2025-11-14 20:51:09.014674
Bitcoin,96164.47,2025-11-14 20:52:19.205656
Ethereum,3179.27,2025-11-14 20:52:19.205656
BNB,919.45,2025-11-14 20:52:19.205656
Solana,141.0,2025-11-14 20:52:19.205656
XRP,2.29,2025-11-14 20:52:19.205656
Dogecoin,0.1618,2025-11-14 20:52:19.205656
Bitcoin,96164.47,2025-11-14 20:53:29.668554
Ethereum,3179.27,2025-11-14 20:53:29.668554
BNB,919.45,2025-11-14 20:53:29.668554
Solana,141.0,2025-11-14 20:53:29.668554
XRP,2.29,2025-11-14 20:53:29.668554
Dogecoin,0.1618,2025-11-14 20:53:29.668554
Bitcoin,96192.26,2025-11-14 20:54:42.223875
Ethereum,3184.84,2025-11-14 20:54:42.223875
BNB,920.62,2025-11-14 20:54:42.223875
Solana,140.86,2025-11-14 20:54:42.223875
XRP,2.29,2025-11-14 20:54:42.223875
Dogecoin,0.1615,2025-11-14 20:54:42.223875
Bitcoin,96192.26,2025-11-14 20:56:06.975063
Ethereum,3184.84,2025-11-14 20:56:06.975063
BNB,920.62,2025-11-14 20:56:06.975063
Solana,140.86,2025-11-14 20:56:06.975063
XRP,2.29,2025-11-14 20:56:06.975063
Dogecoin,0.1615,2025-11-14 20:56:06.975063
Bitcoin,96128.16,2025-11-14 20:57:13.342860
Ethereum,3182.71,2025-11-14 20:57:13.342860
BNB,920.62,2025-11-14 20:57:13.342860
Solana,140.9,2025-11-14 20:57:13.342860
XRP,2.29,2025-11-14 20:57:13.342860
Dogecoin,0.1615,2025-11-14 20:57:13.342860
Bitcoin,96122.0,2025-11-14 20:58:20.290210
Ethereum,3179.76,2025-11-14 20:58:20.290210
BNB,920.92,2025-11-14 20:58:20.290210
Solana,140.96,2025-11-14 20:58:20.290210
XRP,2.29,2025-11-14 20:58:20.290210
Dogecoin,0.1616,2025-11-14 20:58:20.290210
Bitcoin,96122.0,2025-11-14 20:59:32.566112
Ethereum,3179.76,2025-11-14 20:59:32.566112
BNB,920.92,2025-11-14 20:59:32.566112
Solana,140.96,2025-11-14 20:59:32.566112
XRP,2.29,2025-11-14 20:59:32.566112
Dogecoin,0.1616,2025-11-14 20:59:32.566112
Bitcoin,95890.28,2025-11-14 21:00:48.689870
Ethereum,3169.07,2025-11-14 21:00:48.689870
BNB,920.05,2025-11-14 21:00:48.689870
Solana,140.96,2025-11-14 21:00:48.689870
XRP,2.29,2025-11-14 21:00:48.689870
Dogecoin,0.1616,2025-11-14 21:00:48.689870
Bitcoin,95890.28,2025-11-14 21:01:56.099034
Ethereum,3169.07,2025-11-14 21:01:56.099034
BNB,920.05,2025-11-14 21:01:56.099034
Solana,140.96,2025-11-14 21:01:56.099034
XRP,2.29,2025-11-14 21:01:56.099034
Dogecoin,0.1615,2025-11-14 21:01:56.099034
Bitcoin,96712.04,2025-11-14 21:03:02.863241
Ethereum,3211.37,2025-11-14 21:03:02.863241
BNB,921.15,2025-11-14 21:03:02.863241
Solana,140.62,2025-11-14 21:03:02.863241
XRP,2.28,2025-11-14 21:03:02.863241
Dogecoin,0.1615,2025-11-14 21:03:02.863241
Bitcoin,96712.04,2025-11-14 21:04:10.063031
Ethereum,3211.37,2025-11-14 21:04:10.063031
BNB,921.91,2025-11-14 21:04:10.063031
Solana,140.62,2025-11-14 21:04:10.063031
XRP,2.28,2025-11-14 21:04:10.063031
Dogecoin,0.1615,2025-11-14 21:04:10.063031
Bitcoin,96712.04,2025-11-14 21:05:17.100792
Ethereum,3211.37,2025-11-14 21:05:17.100792
BNB,921.91,2025-11-14 21:05:17.100792
Solana,140.62,2025-11-14 21:05:17.100792
XRP,2.28,2025-11-14 21:05:17.100792
Dogecoin,0.1615,2025-11-14 21:05:17.100792
Bitcoin,96712.04,2025-11-14 21:06:23.858310
Ethereum,3207.36,2025-11-14 21:06:23.858310
BNB,924.42,2025-11-14 21:06:23.858310
Solana,141.19,2025-11-14 21:06:23.858310
XRP,2.29,2025-11-14 21:06:23.858310
Dogecoin,0.1622,2025-11-14 21:06:23.858310
Bitcoin,96767.06,2025-11-14 21:07:30.098310
Ethereum,3207.36,2025-11-14 21:07:30.098310
BNB,924.42,2025-11-14 21:07:30.098310
Solana,141.19,2025-11-14 21:07:30.098310
XRP,2.29,2025-11-14 21:07:30.098310
Dogecoin,0.1622,2025-11-14 21:07:30.098310
Bitcoin,96529.77,2025-11-14 21:08:37.665314
Ethereum,3196.37,2025-11-14 21:08:37.665314
BNB,923.9,2025-11-14 21:08:37.665314
Solana,141.48,2025-11-14 21:08:37.665314
XRP,2.29,2025-11-14 21:08:37.665314
Dogecoin,0.1628,2025-11-14 21:08:37.665314
Bitcoin,96529.77,2025-11-14 21:09:55.256069
Ethereum,3196.37,2025-11-14 21:09:55.256069
BNB,923.9,2025-11-14 21:09:55.256069
Solana,141.48,2025-11-14 21:09:55.256069
XRP,2.29,2025-11-14 21:09:55.256069
Dogecoin,0.1628,2025-11-14 21:09:55.256069
Bitcoin,96509.44,2025-11-14 21:11:02.629792
Ethereum,3193.95,2025-11-14 21:11:02.629792
BNB,924.0,2025-11-14 21:11:02.629792
Solana,141.48,2025-11-14 21:11:02.629792
XRP,2.29,2025-11-14 21:11:02.629792
